#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-G	CII1335c	3611.5541	1335.708	EMISSION	-0.2688	0.2734	-1.44518613275e+17	6.88754255883e+15	6.3172e-18	6.4256e-18	4.6737e-19	1.3647e-18	4.2864	1.0	0.3618	3611.7544	0.2858	0.8014	1.704	0.0002
rcs0327-G	NIV]1486	4019.273	1486.5	EMISSION	-0.1927	0.1447	-1.54707500549e+17	7.2193529562e+15	4.0155e-18	3.0151e-18	6.6817e-19	1.5233e-18	2.1974	1.0	0.1218	4019.496	0.976	1.7068	1.704	0.0007
rcs0327-G	SiII1533	4146.168	1533.4312	FINESTR	-0.7519	0.1055	-2.68133663253e+17	7.42330444147e+15	1.4991e-17	2.1032e-18	-1.144e-18	3.5003e-18	4.6096	1.0	0.7148	4146.1559	0.1189	1.1346	1.7038	0.0001
rcs0327-G	HeII1640	4435.4415	1640.417	EMISSION	-0.3862	0.1202	-2.37537020367e+17	7.13703442405e+15	7.2682e-18	2.2616e-18	1.0266e-18	1.1444e-18	5.4541	1.0	0.2212	4435.6674	0.4492	1.8836	1.704	0.0003
rcs0327-G	OIII]1660	4490.5784	1660.809	EMISSION	-0.0387	0.0771	-1.91527233111e+17	6.84355754653e+15	7.1687e-19	1.4277e-18	-1.5129e-18	2.7073e-18	0.82361	1.0	0.0527	4490.3304	1.1936	0.7919	1.7037	0.0007
rcs0327-G	OIII1666	4505.0197	1666.15	EMISSION	-0.1682	0.1028	-2.09322249439e+17	7.20035589726e+15	3.1059e-18	1.8985e-18	-1.5129e-18	2.7073e-18	1.7061	1.0	0.1403	4504.7698	0.5955	1.2929	1.7037	0.0004
rcs0327-G	SiIII1882	5090.5573	1882.707	EMISSION	-0.3606	0.0967	-3.19851932031e+17	8.244217537e+15	5.6198e-18	1.5077e-18	2.8469e-19	5.7834e-19	9.2249	1.0	0.2689	5090.7615	0.2933	1.4468	1.704	0.0002
rcs0327-G	SiIII1892	5115.7626	1892.029	EMISSION	-0.1213	0.0863	-2.80019222603e+17	8.22837191397e+15	1.8798e-18	1.3372e-18	-1.6048e-19	9.6724e-19	2.1094	1.0	0.1141	5116.0464	0.6176	1.147	1.704	0.0003
rcs0327-G	CIII]1906	5155.3848	1906.683	EMISSION	-0.8386	0.107	-3.91412203764e+17	8.85537532985e+15	1.29e-17	1.6462e-18	-2.5566e-19	7.1757e-19	18.334	1.0	0.6954	5155.32	0.1253	1.301	1.7038	0.0001
rcs0327-G	CIII]1908	5160.9304	1908.734	EMISSION	-0.8211	0.1178	-3.81115615382e+17	8.82933933252e+15	1.2607e-17	1.8083e-18	-2.5566e-19	7.1757e-19	17.926	1.0	0.5714	5160.6441	0.1644	1.5502	1.7037	0.0001
